S:2016-05-03 02:40:00 E:2016-05-22 17:37:00 Price:399.99
S:2016-05-22 17:37:00 E:2016-09-02 07:40:00 Price:null
S:2016-09-02 07:40:00 E:2016-10-14 13:40:00 Price:399.99
S:2016-10-14 13:40:00 E:2016-12-03 13:12:00 Price:142.96
S:2016-12-03 13:12:00 E:2016-12-17 07:56:00 Price:null
S:2016-12-17 07:56:00 E:2016-12-19 14:16:00 Price:109.97
S:2016-12-19 14:16:00 E:2016-12-23 03:38:00 Price:null
S:2016-12-23 03:38:00 E:2016-12-24 01:42:00 Price:109.97
S:2016-12-24 01:42:00 E:2016-12-30 07:32:00 Price:null
S:2016-12-30 07:32:00 E:2017-01-21 07:00:00 Price:109.97
S:2017-01-21 07:00:00 E:2017-02-12 23:32:00 Price:null
S:2017-02-12 23:32:00 E:2017-02-20 05:10:00 Price:109.97
S:2017-02-20 05:10:00 E:2017-03-10 03:32:00 Price:null
S:2017-03-10 03:32:00 E:2017-03-15 05:26:00 Price:109.97
S:2017-03-15 05:26:00 E:2017-03-22 02:44:00 Price:119.97
S:2017-03-22 02:44:00 E:2017-03-30 01:38:00 Price:null
S:2017-03-30 01:38:00 E:2017-03-31 19:18:00 Price:119.97
S:2017-03-31 19:18:00 E:2017-04-17 11:08:00 Price:null
S:2017-04-17 11:08:00 E:2017-04-17 18:12:00 Price:119.97
S:2017-04-17 18:12:00 E:2017-04-29 15:40:00 Price:null
S:2017-04-29 15:40:00 E:2017-05-13 14:12:00 Price:109.97
S:2017-05-13 14:12:00 E:2017-05-27 16:54:00 Price:null
S:2017-05-27 16:54:00 E:2017-07-12 01:18:00 Price:109.97
S:2017-07-12 01:18:00 E:2017-07-19 13:36:00 Price:119.97
S:2017-07-19 13:36:00 E:2017-07-25 15:16:00 Price:null
S:2017-07-25 15:16:00 E:2017-07-28 16:32:00 Price:119.97
S:2017-07-28 16:32:00 E:2017-07-29 03:24:00 Price:124.59
S:2017-07-29 03:24:00 E:2017-08-08 19:28:00 Price:null
S:2017-08-08 19:28:00 E:2017-11-22 16:59:06 Price:142.96
S:2017-11-22 16:59:06 E:2017-11-22 18:00:15 Price:null
S:2017-11-22 18:00:15 E:2017-12-21 13:23:09 Price:142.96
S:2017-12-21 13:23:09 E:2017-12-21 14:24:14 Price:null
S:2017-12-21 14:24:14 E:2017-12-24 02:50:12 Price:142.96
S:2017-12-24 02:50:12 E:2017-12-24 02:50:26 Price:null
S:2017-12-24 02:50:26 E:2017-12-26 06:52:12 Price:142.96
S:2017-12-26 06:52:12 E:2017-12-26 07:53:24 Price:null
S:2017-12-26 07:53:24 E:2018-01-02 05:07:20 Price:142.96
S:2018-01-02 05:07:20 E:2018-01-02 06:08:23 Price:null
S:2018-01-02 06:08:23 E:2018-01-12 19:26:06 Price:142.96
S:2018-01-12 19:26:06 E:2018-01-12 20:27:10 Price:null
S:2018-01-12 20:27:10 E:2018-01-16 12:58:08 Price:142.96
S:2018-01-16 12:58:08 E:2018-01-16 13:59:14 Price:null
S:2018-01-16 13:59:14 E:2018-01-17 08:20:10 Price:142.96
S:2018-01-17 08:20:10 E:2018-01-17 09:21:29 Price:null
S:2018-01-17 09:21:29 E:2018-01-17 14:28:23 Price:142.96
S:2018-01-17 14:28:23 E:2018-01-17 15:29:28 Price:null
S:2018-01-17 15:29:28 E:2018-01-26 20:16:25 Price:142.96
S:2018-01-26 20:16:25 E:2018-01-26 21:17:37 Price:null
S:2018-01-26 21:17:37 E:2018-03-16 09:38:35 Price:142.96
S:2018-03-16 09:38:35 E:2018-03-16 10:39:26 Price:null
S:2018-03-16 10:39:26 E:2019-01-29 00:28:00 Price:142.96
S:2019-01-29 00:28:00 E:2019-01-29 12:29:48 Price:null
S:2019-01-29 12:29:48 E:2020-02-11 07:42:20 Price:142.96
S:2020-02-11 07:42:20 E:2020-03-31 12:46:15 Price:null}],S:2016-05-03 02:40:00 E:2016-05-22 17:37:00 Price:399.99
S:2016-05-22 17:37:00 E:2016-09-02 07:40:00 Price:null
S:2016-09-02 07:40:00 E:2016-10-14 13:40:00 Price:399.99
S:2016-10-14 13:40:00 E:2016-12-03 13:12:00 Price:142.96
S:2016-12-03 13:12:00 E:2016-12-17 07:56:00 Price:null
S:2016-12-17 07:56:00 E:2016-12-19 14:16:00 Price:109.97
S:2016-12-19 14:16:00 E:2016-12-23 03:38:00 Price:null
S:2016-12-23 03:38:00 E:2016-12-24 01:42:00 Price:109.97
S:2016-12-24 01:42:00 E:2016-12-30 07:32:00 Price:null
S:2016-12-30 07:32:00 E:2017-01-21 07:00:00 Price:109.97
S:2017-01-21 07:00:00 E:2017-02-12 23:32:00 Price:null
S:2017-02-12 23:32:00 E:2017-02-20 05:10:00 Price:109.97
S:2017-02-20 05:10:00 E:2017-03-10 03:32:00 Price:null
S:2017-03-10 03:32:00 E:2017-03-15 05:26:00 Price:109.97
S:2017-03-15 05:26:00 E:2017-03-22 02:44:00 Price:119.97
S:2017-03-22 02:44:00 E:2017-03-30 01:38:00 Price:null
S:2017-03-30 01:38:00 E:2017-03-31 19:18:00 Price:119.97
S:2017-03-31 19:18:00 E:2017-04-17 11:08:00 Price:null
S:2017-04-17 11:08:00 E:2017-04-17 18:12:00 Price:119.97
S:2017-04-17 18:12:00 E:2017-04-29 15:40:00 Price:null
S:2017-04-29 15:40:00 E:2017-05-13 14:12:00 Price:109.97
S:2017-05-13 14:12:00 E:2017-05-27 16:54:00 Price:null
S:2017-05-27 16:54:00 E:2017-07-12 01:18:00 Price:109.97
S:2017-07-12 01:18:00 E:2017-07-19 13:36:00 Price:119.97
S:2017-07-19 13:36:00 E:2017-07-25 15:16:00 Price:null
S:2017-07-25 15:16:00 E:2017-07-28 16:32:00 Price:119.97
S:2017-07-28 16:32:00 E:2017-07-29 03:24:00 Price:124.59
S:2017-07-29 03:24:00 E:2017-08-08 19:28:00 Price:null
S:2017-08-08 19:28:00 E:2017-11-22 16:59:06 Price:142.96
S:2017-11-22 16:59:06 E:2017-11-22 18:00:15 Price:null
S:2017-11-22 18:00:15 E:2017-12-21 13:23:09 Price:142.96
S:2017-12-21 13:23:09 E:2017-12-21 14:24:14 Price:null
S:2017-12-21 14:24:14 E:2017-12-24 02:50:12 Price:142.96
S:2017-12-24 02:50:12 E:2017-12-24 02:50:26 Price:null
S:2017-12-24 02:50:26 E:2017-12-26 06:52:12 Price:142.96
S:2017-12-26 06:52:12 E:2017-12-26 07:53:24 Price:null
S:2017-12-26 07:53:24 E:2018-01-02 05:07:20 Price:142.96
S:2018-01-02 05:07:20 E:2018-01-02 06:08:23 Price:null
S:2018-01-02 06:08:23 E:2018-01-12 19:26:06 Price:142.96
S:2018-01-12 19:26:06 E:2018-01-12 20:27:10 Price:null
S:2018-01-12 20:27:10 E:2018-01-16 12:58:08 Price:142.96
S:2018-01-16 12:58:08 E:2018-01-16 13:59:14 Price:null
S:2018-01-16 13:59:14 E:2018-01-17 08:20:10 Price:142.96
S:2018-01-17 08:20:10 E:2018-01-17 09:21:29 Price:null
S:2018-01-17 09:21:29 E:2018-01-17 14:28:23 Price:142.96
S:2018-01-17 14:28:23 E:2018-01-17 15:29:28 Price:null
S:2018-01-17 15:29:28 E:2018-01-26 20:16:25 Price:142.96
S:2018-01-26 20:16:25 E:2018-01-26 21:17:37 Price:null
S:2018-01-26 21:17:37 E:2018-03-16 09:38:35 Price:142.96
S:2018-03-16 09:38:35 E:2018-03-16 10:39:26 Price:null
S:2018-03-16 10:39:26 E:2019-01-29 00:28:00 Price:142.96
S:2019-01-29 00:28:00 E:2019-01-29 12:29:48 Price:null
S:2019-01-29 12:29:48 E:2020-02-11 07:42:20 Price:142.96
S:2020-02-11 07:42:20 E:2020-03-31 12:46:15 Price:null}],S:2016-05-03 02:40:00 E:2016-05-22 17:37:00 Price:399.99
S:2016-05-22 17:37:00 E:2016-09-02 07:40:00 Price:null
S:2016-09-02 07:40:00 E:2016-10-14 13:40:00 Price:399.99
S:2016-10-14 13:40:00 E:2016-12-03 13:12:00 Price:142.96
S:2016-12-03 13:12:00 E:2016-12-17 07:56:00 Price:null
S:2016-12-17 07:56:00 E:2016-12-19 14:16:00 Price:109.97
S:2016-12-19 14:16:00 E:2016-12-23 03:38:00 Price:null
S:2016-12-23 03:38:00 E:2016-12-24 01:42:00 Price:109.97
S:2016-12-24 01:42:00 E:2016-12-30 07:32:00 Price:null
S:2016-12-30 07:32:00 E:2017-01-21 07:00:00 Price:109.97
S:2017-01-21 07:00:00 E:2017-02-12 23:32:00 Price:null
S:2017-02-12 23:32:00 E:2017-02-20 05:10:00 Price:109.97
S:2017-02-20 05:10:00 E:2017-03-10 03:32:00 Price:null
S:2017-03-10 03:32:00 E:2017-03-15 05:26:00 Price:109.97
S:2017-03-15 05:26:00 E:2017-03-22 02:44:00 Price:119.97
S:2017-03-22 02:44:00 E:2017-03-30 01:38:00 Price:null
S:2017-03-30 01:38:00 E:2017-03-31 19:18:00 Price:119.97
S:2017-03-31 19:18:00 E:2017-04-17 11:08:00 Price:null
S:2017-04-17 11:08:00 E:2017-04-17 18:12:00 Price:119.97
S:2017-04-17 18:12:00 E:2017-04-29 15:40:00 Price:null
S:2017-04-29 15:40:00 E:2017-05-13 14:12:00 Price:109.97
S:2017-05-13 14:12:00 E:2017-05-27 16:54:00 Price:null
S:2017-05-27 16:54:00 E:2017-07-12 01:18:00 Price:109.97
S:2017-07-12 01:18:00 E:2017-07-19 13:36:00 Price:119.97
S:2017-07-19 13:36:00 E:2017-07-25 15:16:00 Price:null
S:2017-07-25 15:16:00 E:2017-07-28 16:32:00 Price:119.97
S:2017-07-28 16:32:00 E:2017-07-29 03:24:00 Price:124.59
S:2017-07-29 03:24:00 E:2017-08-08 19:28:00 Price:null
S:2017-08-08 19:28:00 E:2017-11-22 16:59:06 Price:142.96
S:2017-11-22 16:59:06 E:2017-11-22 18:00:15 Price:null
S:2017-11-22 18:00:15 E:2017-12-21 13:23:09 Price:142.96
S:2017-12-21 13:23:09 E:2017-12-21 14:24:14 Price:null
S:2017-12-21 14:24:14 E:2017-12-24 02:50:12 Price:142.96
S:2017-12-24 02:50:12 E:2017-12-24 02:50:26 Price:null
S:2017-12-24 02:50:26 E:2017-12-26 06:52:12 Price:142.96
S:2017-12-26 06:52:12 E:2017-12-26 07:53:24 Price:null
S:2017-12-26 07:53:24 E:2018-01-02 05:07:20 Price:142.96
S:2018-01-02 05:07:20 E:2018-01-02 06:08:23 Price:null
S:2018-01-02 06:08:23 E:2018-01-12 19:26:06 Price:142.96
S:2018-01-12 19:26:06 E:2018-01-12 20:27:10 Price:null
S:2018-01-12 20:27:10 E:2018-01-16 12:58:08 Price:142.96
S:2018-01-16 12:58:08 E:2018-01-16 13:59:14 Price:null
S:2018-01-16 13:59:14 E:2018-01-17 08:20:10 Price:142.96
S:2018-01-17 08:20:10 E:2018-01-17 09:21:29 Price:null
S:2018-01-17 09:21:29 E:2018-01-17 14:28:23 Price:142.96
S:2018-01-17 14:28:23 E:2018-01-17 15:29:28 Price:null
S:2018-01-17 15:29:28 E:2018-01-26 20:16:25 Price:142.96
S:2018-01-26 20:16:25 E:2018-01-26 21:17:37 Price:null
S:2018-01-26 21:17:37 E:2018-03-16 09:38:35 Price:142.96
S:2018-03-16 09:38:35 E:2018-03-16 10:39:26 Price:null
S:2018-03-16 10:39:26 E:2019-01-29 00:28:00 Price:142.96
S:2019-01-29 00:28:00 E:2019-01-29 12:29:48 Price:null
S:2019-01-29 12:29:48 E:2020-02-11 07:42:20 Price:142.96
S:2020-02-11 07:42:20 E:2020-03-31 12:46:15 Price:null}],
