S:2017-08-18 18:08:55 E:2017-08-19 04:04:12 Price:15.28
S:2017-08-19 04:04:12 E:2017-08-19 10:47:35 Price:25.99
S:2017-08-19 10:47:35 E:2017-08-19 14:08:58 Price:25.83
S:2017-08-19 14:08:58 E:2017-08-19 22:26:01 Price:25.78
S:2017-08-19 22:26:01 E:2017-08-20 05:58:06 Price:14.96
S:2017-08-20 05:58:06 E:2017-08-20 10:02:32 Price:25.78
S:2017-08-20 10:02:32 E:2017-08-20 15:06:54 Price:25.83
S:2017-08-20 15:06:54 E:2017-08-20 16:45:45 Price:14.96
S:2017-08-20 16:45:45 E:2017-08-21 04:23:23 Price:25.78
S:2017-08-21 04:23:23 E:2017-08-21 09:23:19 Price:14.96
S:2017-08-21 09:23:19 E:2017-08-21 14:22:36 Price:25.78
S:2017-08-21 14:22:36 E:2017-08-21 22:40:35 Price:14.96
S:2017-08-21 22:40:35 E:2017-08-22 03:46:57 Price:25.78
S:2017-08-22 03:46:57 E:2017-08-24 07:43:50 Price:25.81
S:2017-08-24 07:43:50 E:2017-08-24 12:48:28 Price:25.67
S:2017-08-24 12:48:28 E:2017-08-25 03:39:48 Price:25.62
S:2017-08-25 03:39:48 E:2017-08-25 10:20:51 Price:25.67
S:2017-08-25 10:20:51 E:2017-08-25 18:46:33 Price:25.62
S:2017-08-25 18:46:33 E:2017-08-25 23:43:30 Price:14.82
S:2017-08-25 23:43:30 E:2017-08-26 16:22:15 Price:25.62
S:2017-08-26 16:22:15 E:2017-08-27 00:45:28 Price:25.65
S:2017-08-27 00:45:28 E:2017-08-27 07:21:05 Price:14.82
S:2017-08-27 07:21:05 E:2017-08-27 14:05:34 Price:25.65
S:2017-08-27 14:05:34 E:2017-08-27 15:42:49 Price:14.82
S:2017-08-27 15:42:49 E:2017-08-27 18:59:07 Price:25.65
S:2017-08-27 18:59:07 E:2017-08-28 02:32:18 Price:14.82
S:2017-08-28 02:32:18 E:2017-08-28 07:31:35 Price:25.65
S:2017-08-28 07:31:35 E:2017-08-28 12:28:58 Price:14.82
S:2017-08-28 12:28:58 E:2017-08-30 13:46:05 Price:25.65
S:2017-08-30 13:46:05 E:2017-08-30 18:42:26 Price:14.82
S:2017-08-30 18:42:26 E:2017-08-31 12:10:50 Price:25.65
S:2017-08-31 12:10:50 E:2017-08-31 13:56:15 Price:14.82
S:2017-08-31 13:56:15 E:2017-08-31 20:30:03 Price:25.65
S:2017-08-31 20:30:03 E:2017-09-20 03:06:05 Price:25.66
S:2017-09-20 03:06:05 E:2017-09-20 09:48:58 Price:25.05
S:2017-09-20 09:48:58 E:2017-09-23 06:55:01 Price:14.82
S:2017-09-23 06:55:01 E:2017-09-23 10:19:29 Price:24.44
S:2017-09-23 10:19:29 E:2017-09-23 13:33:08 Price:14.82
S:2017-09-23 13:33:08 E:2017-09-23 15:16:00 Price:25.68
S:2017-09-23 15:16:00 E:2017-09-23 18:32:27 Price:14.82
S:2017-09-23 18:32:27 E:2017-09-23 20:12:54 Price:25.68
S:2017-09-23 20:12:54 E:2017-09-24 06:16:18 Price:14.82
S:2017-09-24 06:16:18 E:2017-09-24 11:18:25 Price:25.68
S:2017-09-24 11:18:25 E:2017-10-31 14:00:27 Price:14.82
S:2017-10-31 14:00:27 E:2017-11-01 05:46:12 Price:14.93
S:2017-11-01 05:46:12 E:2017-11-01 15:48:40 Price:15.03
S:2017-11-01 15:48:40 E:2017-11-07 09:36:05 Price:14.82
S:2017-11-07 09:36:05 E:2017-11-07 16:16:19 Price:21.1
S:2017-11-07 16:16:19 E:2017-11-08 10:30:55 Price:14.82
S:2017-11-08 10:30:55 E:2017-11-08 12:17:49 Price:21.54
S:2017-11-08 12:17:49 E:2017-11-09 03:53:55 Price:14.82
S:2017-11-09 03:53:55 E:2017-11-09 21:52:40 Price:14.93
S:2017-11-09 21:52:40 E:2017-11-10 15:52:58 Price:15.02
S:2017-11-10 15:52:58 E:2017-11-13 19:37:47 Price:21.35
S:2017-11-13 19:37:47 E:2017-11-13 21:54:31 Price:21.54
S:2017-11-13 21:54:31 E:2017-11-16 08:42:22 Price:21.35
S:2017-11-16 08:42:22 E:2017-11-16 10:23:54 Price:21.54
